"Id","Tag","Data","Antena","Tipo"
"4466","E2806890000040030B64AE2A","26/06/2024  05:14:23","Lavanderia Entrada","Entrada"
"4467","E28068900000400598D824EF","26/06/2024  10:09:58","Lavanderia Entrada","Entrada"
"4468","E2806890000040030B64AE2A","26/06/2024  05:14:21","Lavanderia Saida","Saída"
"4469","E2806890000040030B64AE2A","26/06/2024  15:25:43","Lavanderia Saida","Saída"
"4470","E28068900000500598D5B522","26/06/2024  15:25:43","Lavanderia Saida","Entrada"
"4471","30155C97D461A6C0004B0F76","26/06/2024  23:50:09","Lavanderia Saida","Entrada"
"4473","E28068900000400598D824EF","27/06/2024  07:09:35","Lavanderia Saida","Entrada"
"4474","E2806890000040030B64AE2A","27/06/2024  11:06:45","Lavanderia Entrada","Entrada"
"4475","300F4F573AD001C0C466737C","27/06/2024  12:18:51","Lavanderia Saida","Entrada"
"4477","30155C97D461A6C0004B0F76","27/06/2024  13:57:03","Lavanderia Saida","Entrada"
"4478","E28068900000400598D824EF","27/06/2024  17:56:57","Lavanderia Saida","Entrada"
"4479","E28068900000400598D824EF","27/06/2024  17:58:15","Lavanderia Entrada","Saída"
"4480","AAA1000034939CFB00000A5C","27/06/2024  18:57:43","Lavanderia Saida","Entrada"
"4481","AAA1000034939CFB00000A5C","27/06/2024  18:59:02","Lavanderia Entrada","Saída"
"4482","E28068900000400598D824EF","27/06/2024  22:32:39","Lavanderia Entrada","Entrada"
"4484","300F4F573AD001C0C466737C","28/06/2024  06:46:30","Lavanderia Entrada","Entrada"
"4485","E2806890000040030B64AE2A","28/06/2024  07:11:42","Lavanderia Saida","Saída"
"4486","E2806890000040030B64E05B","28/06/2024  14:03:17","Lavanderia Saida","Entrada"
"4487","300F4F573AD001C0C466737C","28/06/2024  14:06:52","Lavanderia Saida","Entrada"
"4489","30155C97D461A6C0004B0F76","28/06/2024  16:35:06","Lavanderia Saida","Saída"
"4490","E2806890000040030B64AE2A","30/06/2024  10:29:10","Lavanderia Entrada","Entrada"
"4491","E2806890000040030B64AE2A","30/06/2024  10:29:07","Lavanderia Saida","Saída"
"4492","E28068900000400598D824EF","30/06/2024  13:55:18","Lavanderia Saida","Saída"
"4493","E2806890000050030B64AE53","01/07/2024  10:29:08","Lavanderia Saida","Entrada"
"4494","E2806890000050030B64AE53","01/07/2024  10:29:13","Lavanderia Entrada","Saída"
"4498","E28068900000500598D738B6","01/07/2024  10:31:50","Lavanderia Saida","Saída"
"4499","E28068900000400598D73DAF","01/07/2024  10:31:50","Lavanderia Saida","Saída"
"4500","E28068900000500598D64880","01/07/2024  10:31:51","Lavanderia Saida","Saída"
"4501","300F4F573AD001C0C466737C","01/07/2024  13:33:25","Lavanderia Entrada","Saída"
"4502","300F4F573AD001C0C466737C","01/07/2024  13:33:28","Lavanderia Saida","Entrada"
"4503","E2806890000040030B6498F4","01/07/2024  14:13:21","Lavanderia Saida","Entrada"
"4504","E28068900000400598D77542","01/07/2024  14:13:21","Lavanderia Saida","Entrada"
